epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1652.58,1.02674,0.77579,1.08274,0.75449,0.62176,0.6941,0.49067,0.97548,0.66477,1.00548,0.000848969,0.000848969,0.000848969
43,1691.46,1.02847,0.77822,1.08663,0.73812,0.63165,0.70429,0.50161,0.96704,0.66343,1.00416,0.000834822,0.000834822,0.000834822
44,1730.5,1.05213,0.79307,1.09177,0.7649,0.63294,0.71094,0.50149,0.96736,0.66806,1.01266,0.000820675,0.000820675,0.000820675
45,1769.45,1.03108,0.76944,1.07953,0.78235,0.62771,0.71245,0.50895,0.94268,0.6614,0.98137,0.000806528,0.000806528,0.000806528
46,1807.98,1.02131,0.75896,1.07221,0.79917,0.62628,0.71617,0.51217,0.93905,0.64179,0.97594,0.00079238,0.00079238,0.00079238
47,1846.93,1.03125,0.77483,1.07786,0.78464,0.63509,0.71837,0.51077,0.94767,0.64905,0.97888,0.000778233,0.000778233,0.000778233
48,1885.82,1.02543,0.7754,1.08009,0.78371,0.59653,0.68858,0.48822,0.96067,0.66881,0.99113,0.000764086,0.000764086,0.000764086
49,1924.67,1.02662,0.76493,1.07764,0.7917,0.65028,0.72183,0.51502,0.95066,0.63936,0.98568,0.000749939,0.000749939,0.000749939
50,1963.38,1.01799,0.76821,1.07539,0.75346,0.65022,0.7158,0.50999,0.95552,0.65831,0.99537,0.000735792,0.000735792,0.000735792
51,2002.01,1.0059,0.74808,1.07188,0.77943,0.64288,0.71661,0.51236,0.9661,0.65405,1.00677,0.000721645,0.000721645,0.000721645
52,2041.3,1.01735,0.7495,1.0654,0.77776,0.66518,0.72349,0.51286,0.93537,0.63145,0.97534,0.000707498,0.000707498,0.000707498
53,2080.7,1.0271,0.76444,1.06949,0.7772,0.64676,0.72812,0.51824,0.92654,0.619,0.97795,0.000693351,0.000693351,0.000693351
54,2119.65,1.02342,0.7646,1.06871,0.78999,0.63799,0.71958,0.51772,0.94011,0.63234,0.98687,0.000679204,0.000679204,0.000679204
55,2158.43,1.00782,0.75827,1.06847,0.7961,0.63062,0.71659,0.51115,0.95062,0.62749,0.98939,0.000665057,0.000665057,0.000665057
56,2197.52,1.00378,0.75065,1.06654,0.80373,0.63186,0.71611,0.50723,0.95592,0.65149,1.00011,0.000650909,0.000650909,0.000650909
57,2236.34,0.99519,0.73622,1.05773,0.78647,0.64314,0.724,0.51745,0.94775,0.63584,0.9899,0.000636762,0.000636762,0.000636762
58,2275.07,0.97652,0.73478,1.0636,0.77978,0.63659,0.71184,0.511,0.94295,0.63998,0.9876,0.000622615,0.000622615,0.000622615
59,2313.95,1.01999,0.75133,1.06742,0.8141,0.64855,0.71879,0.51551,0.94088,0.62357,0.98337,0.000608468,0.000608468,0.000608468
60,2352.68,0.97863,0.72239,1.05838,0.80075,0.65453,0.72313,0.51809,0.94589,0.6265,0.99635,0.000594321,0.000594321,0.000594321
61,2391.22,0.97893,0.71969,1.05666,0.78058,0.66309,0.73118,0.52647,0.91808,0.60557,0.97471,0.000580174,0.000580174,0.000580174
62,2430.6,0.98385,0.72743,1.05713,0.80677,0.65388,0.73007,0.52527,0.92627,0.62575,0.98592,0.000566027,0.000566027,0.000566027
63,2469.4,0.96426,0.70723,1.05488,0.80395,0.63846,0.72052,0.52007,0.93321,0.60789,0.99158,0.00055188,0.00055188,0.00055188
64,2508.19,0.95463,0.69914,1.04455,0.77848,0.63355,0.7117,0.51222,0.94889,0.63151,0.99081,0.000537733,0.000537733,0.000537733
65,2547.15,0.98698,0.7293,1.0559,0.78716,0.65363,0.72458,0.52302,0.93279,0.61779,0.98104,0.000523586,0.000523586,0.000523586
66,2585.85,0.96768,0.71205,1.05253,0.79637,0.63201,0.71857,0.51625,0.93985,0.62347,0.9895,0.000509438,0.000509438,0.000509438
67,2624.59,0.95832,0.70364,1.04839,0.79181,0.64688,0.72353,0.51537,0.94278,0.61872,0.98954,0.000495291,0.000495291,0.000495291
68,2663.48,0.96,0.71201,1.04798,0.79463,0.64494,0.72726,0.52155,0.92562,0.60706,0.98313,0.000481144,0.000481144,0.000481144
69,2702.07,0.96219,0.70906,1.04801,0.77399,0.64896,0.71443,0.51481,0.93282,0.62439,0.97895,0.000466997,0.000466997,0.000466997
70,2740.76,0.95359,0.69714,1.04333,0.79557,0.6535,0.72091,0.52014,0.93676,0.61188,0.98313,0.00045285,0.00045285,0.00045285
71,2779.43,0.9631,0.69683,1.03993,0.8004,0.64989,0.72328,0.52285,0.93664,0.62489,0.98925,0.000438703,0.000438703,0.000438703
72,2818.14,0.96009,0.69999,1.04333,0.78576,0.64813,0.71593,0.51698,0.9363,0.60956,0.98841,0.000424556,0.000424556,0.000424556
73,2857.09,0.95909,0.70213,1.04313,0.79535,0.64901,0.72842,0.52902,0.91572,0.60609,0.97046,0.000410409,0.000410409,0.000410409
